country_iso3,year,total_stations,dc_fast_chargers,ac_chargers,avg_power_kw,source
CHN,2026,1.0,0.0,0.0,,OpenChargeMap + AFDC
CZE,2014,2.0,0.0,2.0,22.0,OpenChargeMap + AFDC
CZE,2015,129.0,30.0,99.0,26.7015503875969,OpenChargeMap + AFDC
CZE,2016,81.0,20.0,61.0,26.73375,OpenChargeMap + AFDC
CZE,2017,71.0,14.0,57.0,25.54225352112676,OpenChargeMap + AFDC
CZE,2018,107.0,42.0,63.0,32.16346153846154,OpenChargeMap + AFDC
CZE,2019,50.0,7.0,43.0,21.275510204081638,OpenChargeMap + AFDC
CZE,2020,19.0,15.0,4.0,56.68421052631579,OpenChargeMap + AFDC
CZE,2021,50.0,24.0,26.0,65.0061224489796,OpenChargeMap + AFDC
CZE,2022,13.0,9.0,4.0,92.46153846153848,OpenChargeMap + AFDC
CZE,2023,5.0,1.0,4.0,17.8,OpenChargeMap + AFDC
CZE,2024,18.0,9.0,7.0,72.4375,OpenChargeMap + AFDC
CZE,2025,84.0,15.0,66.0,37.64135802469136,OpenChargeMap + AFDC
CZE,2026,4.0,0.0,4.0,16.5,OpenChargeMap + AFDC
DEU,2021,4132.0,879.0,3248.0,35.33582707677404,OpenChargeMap + AFDC
DEU,2022,138.0,65.0,72.0,113.07591240875914,OpenChargeMap + AFDC
DEU,2023,132.0,55.0,75.0,107.48527131782946,OpenChargeMap + AFDC
DEU,2024,111.0,72.0,36.0,187.76203703703703,OpenChargeMap + AFDC
DEU,2025,393.0,325.0,66.0,176.40358056265984,OpenChargeMap + AFDC
DEU,2026,43.0,9.0,32.0,58.49439024390244,OpenChargeMap + AFDC
DNK,2012,1.0,0.0,0.0,,OpenChargeMap + AFDC
DNK,2013,4.0,0.0,3.0,14.066666666666668,OpenChargeMap + AFDC
DNK,2014,2.0,1.0,1.0,50.0,OpenChargeMap + AFDC
DNK,2015,23.0,4.0,19.0,20.582608695652173,OpenChargeMap + AFDC
DNK,2016,26.0,9.0,17.0,44.03846153846154,OpenChargeMap + AFDC
DNK,2017,50.0,4.0,45.0,19.448979591836736,OpenChargeMap + AFDC
DNK,2018,20.0,2.0,18.0,18.935,OpenChargeMap + AFDC
DNK,2019,33.0,15.0,18.0,71.32424242424241,OpenChargeMap + AFDC
DNK,2020,57.0,51.0,6.0,66.36842105263158,OpenChargeMap + AFDC
DNK,2021,11.0,3.0,7.0,71.8,OpenChargeMap + AFDC
DNK,2022,17.0,10.0,7.0,97.3529411764706,OpenChargeMap + AFDC
DNK,2023,156.0,79.0,77.0,35.22435897435897,OpenChargeMap + AFDC
DNK,2024,1428.0,96.0,1309.0,28.818790035587188,OpenChargeMap + AFDC
DNK,2025,372.0,43.0,329.0,34.427150537634404,OpenChargeMap + AFDC
DNK,2026,2.0,1.0,1.0,155.5,OpenChargeMap + AFDC
ESP,2024,1584.0,777.0,807.0,59.72746212121211,OpenChargeMap + AFDC
ESP,2025,2671.0,1282.0,1386.0,59.84602698650675,OpenChargeMap + AFDC
ESP,2026,738.0,331.0,407.0,53.019376693766944,OpenChargeMap + AFDC
FIN,2011,1.0,0.0,1.0,,OpenChargeMap + AFDC
FIN,2012,1.0,0.0,1.0,3.7,OpenChargeMap + AFDC
FIN,2013,1.0,1.0,0.0,50.0,OpenChargeMap + AFDC
FIN,2014,117.0,21.0,94.0,21.13823529411765,OpenChargeMap + AFDC
FIN,2015,70.0,14.0,56.0,22.995652173913044,OpenChargeMap + AFDC
FIN,2016,64.0,9.0,54.0,24.67096774193548,OpenChargeMap + AFDC
FIN,2017,58.0,11.0,47.0,37.92631578947369,OpenChargeMap + AFDC
FIN,2018,20.0,1.0,19.0,24.66842105263158,OpenChargeMap + AFDC
FIN,2019,61.0,43.0,18.0,59.0,OpenChargeMap + AFDC
