country_iso,year,total_stations,dc_fast_chargers,ac_chargers,avg_power_kw,source,country_name,ev_stock,ev_sales,lithium_prod_t,cobalt_prod_t,mine_production_prod_t,lithium_import_t,lithium_export_t,cobalt_import_t,cobalt_export_t,nickel_import_t,nickel_export_t,graphite_import_t,graphite_export_t,battery_demand_mwh_est,prev_year_stations,prev_year_ev_stock
BEL,2020,119.0,14.0,102.0,35.42413793103448,OpenChargeMap + AFDC,Belgium,105000.0,47000.0,,,,,,,,,,,,2820.0,103.0,60000.0
BEL,2021,70.0,25.0,40.0,78.02153846153846,OpenChargeMap + AFDC,Belgium,172000.0,71000.0,,,,,,,,,,,,4260.0,119.0,105000.0
BEL,2022,35.0,11.0,24.0,64.32857142857142,OpenChargeMap + AFDC,Belgium,270000.0,97000.0,,,,,,,,,,,,5820.0,70.0,172000.0
BEL,2023,67.0,16.0,45.0,71.6360655737705,OpenChargeMap + AFDC,Belgium,470000.0,193000.0,,,,,,,,,,,,11580.0,35.0,270000.0
BEL,2024,35.0,11.0,22.0,93.49090909090908,OpenChargeMap + AFDC,Belgium,670000.0,197000.0,,,,,,,,,,,,11820.0,67.0,470000.0
BRA,2015,1.0,1.0,0.0,50.0,OpenChargeMap + AFDC,Brazil,148.0,89.0,147.69797,,,,,,,,,,,5.34,2.0,0.0
BRA,2020,2.0,1.0,1.0,27.5,OpenChargeMap + AFDC,Brazil,5400.0,2600.0,1420.0,,,15598.004489,74753.839038,1022.946259,1.102,4629.921086,53388.945,1708.164618,15799.113129,156.0,1.0,148.0
BRA,2021,25.0,10.0,13.0,37.10434782608696,OpenChargeMap + AFDC,Brazil,19400.0,13900.0,1700.0,,,17625.764122,103918.071,0.039,0.011,453.983,119800.580981,930.95358,17645.511143,834.0,2.0,5400.0
BRA,2022,37.0,27.0,7.0,68.62285714285714,OpenChargeMap + AFDC,Brazil,39000.0,18500.0,2630.0,,,15208.651297,115722.04556,849.7815420000001,0.0,8294.281259,126386.815771,0.0,17164.206,1110.0,25.0,19400.0
BRA,2023,178.0,100.0,75.0,51.86685714285715,OpenChargeMap + AFDC,Brazil,92000.0,52000.0,5260.0,,,11187.937482,483436.670884,1105.368,0.015,6704.506013,111353.106,196.373271,10587.820355,3120.0,37.0,39000.0
BRA,2024,151.0,133.0,16.0,56.84832214765101,OpenChargeMap + AFDC,Brazil,214000.0,125000.0,10000.0,,,16630.181212,351692.050962,1752.571736,8.007,7291.022163,4.971,346.260144,11057.042475,7500.0,178.0,92000.0
BRA,2025,465.0,319.0,137.0,46.17149122807017,OpenChargeMap + AFDC,,214000.0,125000.0,,,,11830.515505,118223.959615,534.946,79.488,5103.9980000000005,0.0,0.0,12826.675072,7500.0,151.0,214000.0
CHE,2012,1.0,1.0,0.0,50.0,OpenChargeMap + AFDC,Switzerland,1180.0,740.0,,,,,,,,,,,,44.4,4.0,441.0
CHE,2013,4.0,0.0,4.0,14.85,OpenChargeMap + AFDC,Switzerland,2500.0,1370.0,,,,,,,,,,,,82.2,1.0,1180.0
CHE,2014,7.0,2.0,5.0,18.95,OpenChargeMap + AFDC,Switzerland,5410.0,2900.0,,,,,,,,,,,,174.0,4.0,2500.0
CHE,2015,119.0,11.0,108.0,15.47457627118644,OpenChargeMap + AFDC,Switzerland,11000.0,5700.0,,,,,,,,,,,,342.0,7.0,5410.0
